67	Holmium
24	Chromium
13	Aluminum
28	Nickel
60	Neodymium
18	Argon
76	Osmium
72	Hafnium
48	Cadmium
14	Silicon
64	Gadolinium
39	Yttrium
5	Boron
45	Rhodium
80	Mercury
84	Polonium
107	Bohrium
96	Curium
17	Chlorine
62	Samarium
77	Iridium
75	Rhenium
66	Dysprosium
81	Thallium
7	Nitrogen
37	Rubidium
94	Plutonium
91	Protactinium
42	Molybdenum
103	Lawrencium
116	Livermorium
86	Radon
1	Hydrogen
71	Lutetium
8	Oxygen
108	Hassium
69	Thulium
97	Berkelium
20	Calcium
114	Flerovium
41	Niobium
82	Lead
54	Xenon
16	Sulfur
104	Rutherfordium
27	Cobalt
85	Astatine
87	Francium
92	Uranium
90	Thorium
102	Nobelium
74	Wolfram
101	Mendelevium
4	Beryllium
25	Manganese
31	Gallium
118	Oganesson
38	Strontium
99	Einsteinium
35	Bromine
79	Gold
109	Meitnerium
112	Copernicium 
9	Fluorine
21	Scandium
106	Seaborgium
26	Iron
65	Terbium
12	Magnesium
6	Carbon
113	Nihonium
19	Potassium
89	Actinium
93	Neptunium
68	Erbium
46	Palladium
100	Fermium
33	Arsenic
51	Antimony
88	Radium
63	Europium
22	Titanium
15	Phosphorus
111	Roentgenium 
117	Tennessine
110	Darmstadtium 
56	Barium
44	Ruthenium
3	Lithium
10	Neon
52	Tellurium
78	Platinum
30	Zinc
58	Cerium
23	Vanadium
53	Iodine
57	Lanthanum
49	Indium
34	Selenium
55	Cesium
43	Technetium
61	Promethium
47	Silver
29	Copper
105	Dubnium
50	Tin
70	Ytterbium
40	Zirconium
59	Praseodymium
2	Helium
36	Krypton
73	Tantalum
83	Bismuth
32	Germanium
115	Moscovium
95	Americium
98	Californium
11	Sodium
