66	Dysprosium
70	Ytterbium
27	Cobalt
115	Moscovium
26	Iron
68	Erbium
54	Xenon
105	Dubnium
77	Iridium
90	Thorium
71	Lutetium
89	Actinium
64	Gadolinium
79	Gold
117	Tennessine
74	Wolfram
42	Molybdenum
100	Fermium
69	Thulium
51	Antimony
96	Curium
33	Arsenic
76	Osmium
73	Tantalum
99	Einsteinium
97	Berkelium
113	Nihonium
11	Sodium
114	Flerovium
21	Scandium
55	Cesium
80	Mercury
72	Hafnium
107	Bohrium
14	Silicon
109	Meitnerium
47	Silver
92	Uranium
63	Europium
24	Chromium
29	Copper
13	Aluminum
60	Neodymium
6	Carbon
18	Argon
104	Rutherfordium
86	Radon
83	Bismuth
88	Radium
41	Niobium
17	Chlorine
19	Potassium
91	Protactinium
82	Lead
53	Iodine
98	Californium
50	Tin
20	Calcium
28	Nickel
59	Praseodymium
81	Thallium
94	Plutonium
15	Phosphorus
2	Helium
8	Oxygen
87	Francium
67	Holmium
61	Promethium
43	Technetium
48	Cadmium
34	Selenium
106	Seaborgium
102	Nobelium
37	Rubidium
4	Beryllium
58	Cerium
40	Zirconium
45	Rhodium
35	Bromine
57	Lanthanum
