56	Barium
24	Chromium
74	Wolfram
3	Lithium
40	Zirconium
58	Cerium
106	Seaborgium
2	Helium
57	Lanthanum
15	Phosphorus
67	Holmium
45	Rhodium
55	Cesium
79	Gold
54	Xenon
93	Neptunium
35	Bromine
44	Ruthenium
83	Bismuth
95	Americium
85	Astatine
9	Fluorine
52	Tellurium
11	Sodium
117	Tennessine
91	Protactinium
103	Lawrencium
112	Copernicium 
59	Praseodymium
108	Hassium
16	Sulfur
98	Californium
107	Bohrium
118	Oganesson
22	Titanium
99	Einsteinium
63	Europium
18	Argon
8	Oxygen
17	Chlorine
87	Francium
90	Thorium
25	Manganese
39	Yttrium
105	Dubnium
68	Erbium
34	Selenium
49	Indium
42	Molybdenum
4	Beryllium
47	Silver
69	Thulium
65	Terbium
50	Tin
115	Moscovium
66	Dysprosium
104	Rutherfordium
80	Mercury
96	Curium
114	Flerovium
19	Potassium
31	Gallium
109	Meitnerium
28	Nickel
13	Aluminum
36	Krypton
97	Berkelium
101	Mendelevium
23	Vanadium
30	Zinc
46	Palladium
33	Arsenic
62	Samarium
100	Fermium
38	Strontium
81	Thallium
48	Cadmium
82	Lead
71	Lutetium
5	Boron
41	Niobium
20	Calcium
1	Hydrogen
86	Radon
116	Livermorium
43	Technetium
72	Hafnium
32	Germanium
78	Platinum
51	Antimony
53	Iodine
77	Iridium
60	Neodymium
111	Roentgenium 
21	Scandium
61	Promethium
73	Tantalum
94	Plutonium
10	Neon
70	Ytterbium
