2015/1/1	1116.4270 
2015/2/1	1179.9670 
2015/3/1	1249.1540 
2015/4/1	1263.8870 
2015/5/1	1231.2590 
2015/6/1	1264.5700 
2015/7/1	1299.4020 
2015/8/1	1365.6860 
2015/9/1	1515.7730 
2015/10/1	1553.2530 
2015/11/1	1533.0170 
2015/12/1	1495.3210 
2016/1/1	1581.3070 
2016/2/1	1669.9660 
2016/3/1	1760.0420 
2016/4/1	1705.6450 
2016/5/1	1730.3530 
2016/6/1	1770.5370 
2016/7/1	1811.9860 
2016/8/1	1839.6120 
2016/9/1	1933.9130 
2016/10/1	2020.3820 
2016/11/1	2062.7230 
2016/12/1	2076.5010 
2017/1/1	2125.4220 
2017/2/1	2282.6330 
2017/3/1	2414.6470 
2017/4/1	2540.2510 
2017/5/1	2573.3130 
2017/6/1	2637.6640 
2017/7/1	2617.6030 
2017/8/1	2735.3740 
2017/9/1	2883.7110 
2017/10/1	3079.7760 
2017/11/1	3100.6130 
2017/12/1	3202.1820 
2018/1/1	3293.8620 
2018/2/1	3392.7420 
2018/3/1	3494.4980 
2018/4/1	3587.5000 
2018/5/1	3672.3430 
2018/6/1	3744.7970 
2018/7/1	3881.7380 
2018/8/1	3988.2710 
2018/9/1	4260.1390 
2018/10/1	4256.9640 
2018/11/1	4307.4210 
2018/12/1	4116.2700 
2019/1/1	4188.1430 
2019/2/1	4446.7340 
2019/3/1	4637.6170 
2019/4/1	4593.4650 
2019/5/1	4665.4650 
2019/6/1	4787.1990 
2019/7/1	4838.0260 
2019/8/1	5007.7010 
2019/9/1	5193.5740 
2019/10/1	5262.8680 
2019/11/1	5133.7240 
2019/12/1	5297.3530 
2020/1/1	5462.5480 
2020/2/1	5642.1620 
2020/3/1	6626.0200 
2020/4/1	7232.7030 
2020/5/1	7548.3140 
2020/6/1	7007.9720 
2020/7/1	7010.4330 
2020/8/1	7206.7460 
2020/9/1	7375.6360 
2020/10/1	7462.3930 
2020/11/1	7946.9040 
