52.0079	-7.94	56.54	-8.84	51.86
53.0091	-4.84	57.43	-8.62	49.63
54.0092	-6.73	56.95	-7.81	52.81
55.0047	-5.83	55.07	-9.03	51.99
56.0045	21.89	57.23	58.65	56.54
57.005	84.02	62.36	68.92	56.01
58.0065	91.52	60.92	83.3	56.54
59.0018	95.65	61.99	92.43	57.12
60.0026	99.12	63.06	99.18	57.75
55.5039	-6.31	54.92	-8.13	53.2
55.8034	0.82	57.04	53.46	55.94
55.858	2.67	58.44	54.36	55.11
55.9071	4.47	56.01	54.24	55.13
55.9561	8.48	59.13	54.96	54.64
55.6072	-6.72	56.43	-4.35	51.62
55.7051	-6.02	56.46	-3.28	50.78
55.7544	0.54	56.65	49.12	56.87
55.7386	0.46	56.42	19.56	52.65
