"VDC";"r Vo.V";"i Vo.V"
0.1265;0.0249277;0
0.127;0.0251763;0
0.1275;0.025426;0
0.128;0.025677;0
0.1285;0.0259291;0
0.129;0.0261825;0
0.1295;0.026437;0
0.13;0.0266928;0
0.1305;0.0269497;0
0.131;0.0272077;0
0.1315;0.027467;0
0.132;0.0277274;0
0.1325;0.0279889;0
0.133;0.0282517;0
0.1335;0.0285155;0
0.134;0.0287805;0
0.1345;0.0290466;0
0.135;0.0293138;0
0.1355;0.0295822;0
0.136;0.0298516;0
0.1365;0.0301222;0
0.137;0.0303939;0
0.1375;0.0306666;0
0.138;0.0309405;0
0.1385;0.0312154;0
0.139;0.0314914;0
0.1395;0.0317685;0
0.14;0.0320466;0
0.1405;0.0323258;0
0.141;0.032606;0
0.1415;0.0328873;0
0.142;0.0331696;0
0.1425;0.033453;0
0.143;0.0337373;0
0.1435;0.0340227;0
0.144;0.0343091;0
0.1445;0.0345966;0
0.145;0.034885;0
0.1455;0.0351744;0
0.146;0.0354648;0
0.1465;0.0357562;0
0.147;0.0360486;0
0.1475;0.0363419;0
0.148;0.0366362;0
0.1485;0.0369315;0
0.149;0.0372277;0
0.1495;0.0375249;0
0.15;0.037823;0
0.1505;0.038122;0
0.151;0.038422;0
0.1515;0.0387229;0
0.152;0.0390247;0
0.1525;0.0393275;0
0.153;0.0396311;0
0.1535;0.0399357;0
0.154;0.0402411;0
0.1545;0.0405475;0
0.155;0.0408547;0
0.1555;0.0411628;0
0.156;0.0414718;0
0.1565;0.0417816;0
0.157;0.0420923;0
0.1575;0.0424039;0
0.158;0.0427163;0
0.1585;0.0430296;0
0.159;0.0433437;0
0.1595;0.0436587;0
0.16;0.0439745;0
0.1605;0.0442911;0
0.161;0.0446085;0
0.1615;0.0449268;0
0.162;0.0452458;0
0.1625;0.0455657;0
0.163;0.0458864;0
0.1635;0.0462078;0
0.164;0.0465301;0
0.1645;0.0468531;0
0.165;0.0471769;0
0.1655;0.0475015;0
0.166;0.0478269;0
0.1665;0.048153;0
0.167;0.0484799;0
0.1675;0.0488075;0
0.168;0.0491359;0
0.1685;0.0494651;0
0.169;0.0497949;0
0.1695;0.0501256;0
0.17;0.0504569;0
0.1705;0.050789;0
0.171;0.0511218;0
0.1715;0.0514553;0
0.172;0.0517895;0
0.1725;0.0521245;0
0.173;0.0524601;0
0.1735;0.0527964;0
0.174;0.0531335;0
0.1745;0.0534712;0
0.175;0.0538096;0
0.1755;0.0541487;0
0.176;0.0544885;0
0.1765;0.0548289;0
0.177;0.05517;0
0.1775;0.0555118;0
0.178;0.0558542;0
0.1785;0.0561973;0
0.179;0.056541;0
0.1795;0.0568854;0
0.18;0.0572305;0
0.1805;0.0575761;0
0.181;0.0579224;0
0.1815;0.0582694;0
0.182;0.0586169;0
0.1825;0.0589651;0
0.183;0.0593139;0
0.1835;0.0596633;0
0.184;0.0600134;0
0.1845;0.060364;0
0.185;0.0607152;0
0.1855;0.0610671;0
0.186;0.0614195;0
0.1865;0.0617725;0
0.187;0.0621262;0
0.1875;0.0624804;0
0.188;0.0628351;0
0.1885;0.0631905;0
0.189;0.0635464;0
0.1895;0.0639029;0
0.19;0.06426;0
0.1905;0.0646176;0
0.191;0.0649758;0
0.1915;0.0653345;0
0.192;0.0656938;0
0.1925;0.0660537;0
0.193;0.0664141;0
0.1935;0.066775;0
0.194;0.0671365;0
0.1945;0.0674985;0
0.195;0.067861;0
0.1955;0.0682241;0
0.196;0.0685877;0
0.1965;0.0689518;0
0.197;0.0693164;0
0.1975;0.0696815;0
0.198;0.0700472;0
0.1985;0.0704134;0
0.199;0.07078;0
0.1995;0.0711472;0
0.2;0.0715149;0
0.2005;0.0718831;0
0.201;0.0722517;0
0.2015;0.0726209;0
0.202;0.0729905;0
0.2025;0.0733606;0
0.203;0.0737313;0
0.2035;0.0741023;0
0.204;0.0744739;0
0.2045;0.0748459;0
0.205;0.0752184;0
0.2055;0.0755914;0
0.206;0.0759648;0
0.2065;0.0763387;0
0.207;0.0767131;0
0.2075;0.0770879;0
0.208;0.0774632;0
0.2085;0.0778389;0
0.209;0.0782151;0
0.2095;0.0785917;0
0.21;0.0789687;0
0.2105;0.0793462;0
0.211;0.0797241;0
0.2115;0.0801025;0
0.212;0.0804813;0
0.2125;0.0808605;0
0.213;0.0812402;0
0.2135;0.0816202;0
0.214;0.0820007;0
0.2145;0.0823816;0
0.215;0.082763;0
0.2155;0.0831447;0
0.216;0.0835269;0
